id,skills,interests,education,experience_level,certifications,career
78,Python Incident Management Bash Kubernetes,Automation,Diploma CS,Advanced,AWS SA,Site Reliability Engineer
79,Spark Scikit-learn AWS SageMaker Pandas YOLO,MLOps,MSc Data Science,Advanced,Azure ML AWS SageMaker,ML Engineer
80,NER PyTorch spaCy,Linguistics,MCA,Intermediate,AWS CCP,NLP Engineer
81,HLSL AI Pathfinding Python Multiplayer Networking,Graphics Interactive Media,BTech CSE,Intermediate,AWS GameTech,Game Developer
82,JIRA Scrum Agile User Stories C++,Agile Tech Leadership,Diploma CS,Beginner,Google PM Certificate,Product Manager
83,MongoDB Docker REST API,Distributed Systems,BTech IT,Beginner,Oracle Java Spring Professional,Backend Developer
84,Docker Python Java SQL,Open Source Engineering,BSc Computer Science,Beginner,Google Cloud Associate,Software Engineer
85,Next.js Tailwind CSS Vue.js Redux,UI Design,BE AI,Intermediate,JavaScript Algorithms Meta Frontend,Frontend Developer
86,C++ Game Design Shader Programming,Game Development,BCA,Intermediate,Unreal Engine Cert Google Play Academy,Game Developer
87,Text Classification NLTK Transformers PyTorch,Conversational AI Text Analytics,MSc Data Science,Intermediate,AWS CCP,NLP Engineer
88,Node.js Next.js GraphQL,APIs Web Apps,BSc Computer Science,Beginner,Oracle Java Meta Full Stack,Full Stack Developer
89,Agile Product Analytics A/B Testing SQL,Agile Business,MSc Data Science,Intermediate,Scrum Master,Product Manager
90,Seaborn PyTorch R Matplotlib,Data Science Statistics,Diploma CS,Advanced,Google Cloud Associate Azure Fundamentals,Data Scientist
91,Data Analysis Requirements Gathering Power BI Confluence Kubernetes,Strategy,BTech IT,Advanced,Scrum Master CBAP,Business Analyst
92,Vue.js Tailwind CSS Jest TypeScript,Web Development JavaScript Ecosystem,BTech IT,Intermediate,Meta Frontend Azure Fundamentals,Frontend Developer
93,OWASP Linux Cryptography Wireshark,Threat Intelligence,MCA,Beginner,CompTIA CySA+,Cybersecurity Analyst
94,Scrum SQL A/B Testing OKRs AWS,Agile,MSc Data Science,Beginner,Google PM Certificate AWS CCP,Product Manager
95,Tableau TensorFlow PyTorch,Research,BSc Computer Science,Advanced,AWS CCP,Data Scientist
96,Generative AI Transformers Python PyTorch,AI,BTech CSE,Intermediate,AWS CCP,NLP Engineer
97,CloudFormation Google Cloud Networking CDN LangChain,Cloud Computing,Diploma CS,Advanced,Google Cloud Associate AWS SA,Cloud Engineer
98,Looker Power BI Data Visualization ETL,Insights,BE AI,Intermediate,Google Data Analytics AWS CCP,Data Analyst
99,MongoDB Git Docker TypeScript,APIs,BCA,Intermediate,MongoDB Associate AWS CCP,Full Stack Developer
100,Data Structures Python Unit Testing Java Android Studio,System Design Engineering,MCA,Advanced,Google Cloud Associate,Software Engineer
101,Power BI BPMN Tableau Stakeholder Management,Enterprise Systems Data,BSc Computer Science,Intermediate,PMI-PBA,Business Analyst
102,GraphQL CSS HTML Node.js,Full Stack Development Startups,BSc Computer Science,Advanced,Meta Full Stack,Full Stack Developer
103,Transformers NLTK LangChain,Conversational AI,BTech IT,Intermediate,Google Cloud ML,NLP Engineer
104,Text Classification Python LangChain TensorFlow Stakeholder Management,Text Analytics,BTech CSE,Advanced,DeepLearning.AI NLP,NLP Engineer
105,PostgreSQL Python Google Analytics,Data Analytics Reporting,MSc Data Science,Advanced,Power BI Associate AWS CCP,Data Analyst
106,ONNX Image Segmentation MediaPipe OpenCV,Computer Vision Image Processing,BE AI,Advanced,NVIDIA Deep Learning,Computer Vision Engineer
107,FastAPI Python spaCy TensorFlow,Linguistics Conversational AI,MSc Data Science,Intermediate,TensorFlow Developer,NLP Engineer
108,Python Solidity Smart Contracts,Decentralization,BCA,Advanced,Hyperledger,Blockchain Developer
109,Next.js Docker Express.js REST API,Web Apps,MCA,Beginner,Meta Full Stack MongoDB Associate,Full Stack Developer
110,Stakeholder Management Roadmapping SQL User Stories Webpack,Tech Leadership,BCA,Advanced,AWS CCP Google PM Certificate,Product Manager
111,Unit Testing SQL Linux Docker Xcode,Engineering System Design,BTech IT,Advanced,Oracle Java CompTIA A+,Software Engineer
112,Figma HTML REST API,User Experience UI Design,BCA,Beginner,AWS CCP Azure Fundamentals,Frontend Developer
113,Penetration Testing Linux Cryptography,Privacy Cybersecurity,MCA,Advanced,Cisco CCNA,Cybersecurity Analyst
114,Statistics Python SQL,Data Science Analytics,BE AI,Beginner,Google Cloud Associate Azure Fundamentals,Data Scientist
115,S3 Terraform Kubernetes Lambda,Networking Cloud Computing,BSc Computer Science,Intermediate,Azure Fundamentals,Cloud Engineer
116,Python REST API Data Structures Design Patterns,Open Source,BE AI,Advanced,Google Cloud Associate Oracle Java,Software Engineer
117,CI/CD ArgoCD Kubernetes Linux Metasploit,CI/CD Platform Engineering,Diploma CS,Beginner,Google Cloud DevOps,DevOps Engineer
118,Google Play SQLite Xcode,Mobile Development,BE AI,Beginner,Google Android Developer,Mobile App Developer
119,ReactJS CSS Vue.js Redux,Web Performance,BSc Computer Science,Intermediate,AWS CCP JavaScript Algorithms,Frontend Developer
120,TensorFlow Python LLMs Vector Databases,Generative AI Conversational AI,BCA,Beginner,Azure AI,AI Engineer
121,Stakeholder Management User Stories A/B Testing Confluence CI/CD,User Research,BSc Computer Science,Advanced,Scrum Master,Product Manager
122,Incident Response IDS/IPS Vulnerability Assessment,Privacy Threat Intelligence,BTech CSE,Advanced,CompTIA Security+,Cybersecurity Analyst
123,Visio JIRA Agile,Process Improvement,BSc Computer Science,Intermediate,CBAP,Business Analyst
124,REST API Redis Kafka,Databases,BTech IT,Advanced,MongoDB Associate,Backend Developer
125,Android Swift Dart Kotlin,Cross-platform Apps iOS,BTech IT,Advanced,Google Android Developer Firebase,Mobile App Developer
126,ArgoCD GitHub Actions Ansible CI/CD,DevOps Cloud Infrastructure,BSc Computer Science,Intermediate,Kubernetes CKA,DevOps Engineer
127,SQL CI/CD C++ Unit Testing,Problem Solving,BTech IT,Advanced,AWS CCP,Software Engineer
128,Python Cryptography Web3.js JavaScript PostgreSQL,DeFi Blockchain,MCA,Intermediate,Certified Blockchain Expert Ethereum Developer,Blockchain Developer
129,TensorFlow LangChain Generative AI FastAPI Next.js,Natural Language Processing,BTech IT,Beginner,Google Cloud ML TensorFlow Developer,NLP Engineer
130,Scrum OKRs Stakeholder Management Roadmapping,Agile Tech Leadership,MCA,Intermediate,PMP,Product Manager
131,Prometheus AWS Chaos Engineering Python Metasploit,DevOps Cloud Operations,BTech IT,Intermediate,Kubernetes CKA,Site Reliability Engineer
132,SQL System Design REST API CI/CD,Open Source Engineering,BCA,Intermediate,CompTIA A+ Oracle Java,Software Engineer
133,Kubernetes Terraform Grafana Prometheus,Observability,Diploma CS,Intermediate,RedHat RHCSA,Site Reliability Engineer
134,S3 Lambda Networking AWS Transformers,Networking,BTech IT,Intermediate,Google Cloud Associate Azure Fundamentals,Cloud Engineer
135,Firebase Push Notifications Google Play React Native Figma,UX Cross-platform Apps,Diploma CS,Advanced,AWS CCP,Mobile App Developer
136,3D Modeling Shader Programming Game Design,Graphics,BCA,Beginner,Google Play Academy,Game Developer
137,Microservices Docker Express.js Node.js,Backend Systems,BTech IT,Advanced,MongoDB Associate,Backend Developer
138,FastAPI AWS SageMaker Spark Pandas,Machine Learning MLOps,MCA,Beginner,AWS SageMaker,ML Engineer
139,Terraform CloudFormation Lambda Docker,Networking Cloud Computing,Diploma CS,Intermediate,Azure Fundamentals,Cloud Engineer
140,AI Pathfinding HLSL Lua Unreal Engine,Simulation,BTech IT,Intermediate,AWS GameTech Unreal Engine Cert,Game Developer
141,NER Transformers Generative AI LLMs,Natural Language Processing Linguistics,MCA,Intermediate,HuggingFace Certified,NLP Engineer
142,HuggingFace FastAPI LangChain Transformers Prompt Engineering,Linguistics Text Analytics,MCA,Advanced,DeepLearning.AI NLP Google Cloud ML,NLP Engineer
143,Text Classification HuggingFace NLTK FastAPI,AI,BTech IT,Advanced,AWS CCP,NLP Engineer
144,Docker Ansible Grafana Python Scrum,Platform Engineering Automation,MCA,Beginner,Google Cloud DevOps RedHat RHCSA,DevOps Engineer
145,NFT Truffle Web3.js Python,Decentralization Blockchain,BTech CSE,Intermediate,Hyperledger,Blockchain Developer
146,Networking CDN S3 CloudFormation,Networking Scalability,BTech CSE,Advanced,Google Cloud Associate,Cloud Engineer
147,CSS Wireframing Sketch HTML Splunk,Product Design,BSc Computer Science,Intermediate,Interaction Design,UI/UX Designer
148,Linux Azure IAM S3,Cloud Computing Networking,BTech CSE,Intermediate,Google Cloud Associate,Cloud Engineer
149,Ansible ArgoCD Grafana CI/CD Pillow,Platform Engineering,BTech IT,Beginner,Google Cloud DevOps,DevOps Engineer
150,Requirements Gathering Agile Data Analysis Tableau,Data Enterprise Systems,BTech IT,Beginner,CBAP Scrum Master,Business Analyst
151,Web3.js JavaScript Chainlink Smart Contracts,Web3 Cryptography,BCA,Advanced,Web3 Developer Solidity Developer,Blockchain Developer
152,NER FastAPI Generative AI HuggingFace,AI Text Analytics,Diploma CS,Advanced,TensorFlow Developer,NLP Engineer
153,HTML InVision Information Architecture Zeplin,Product Design,Diploma CS,Beginner,Figma Expert HCI Certificate,UI/UX Designer
154,A/B Testing Stakeholder Management Figma JIRA,Product Strategy Tech Leadership,BCA,Beginner,Scrum Master,Product Manager
155,SQL Statistics Tableau PostgreSQL,Business Intelligence Reporting,BCA,Intermediate,Power BI Associate,Data Analyst
156,InVision Sketch Figma Usability Testing,Visual Design,BCA,Beginner,Interaction Design,UI/UX Designer
157,Redis Microservices MongoDB,Backend Systems Distributed Systems,MCA,Beginner,MongoDB Associate,Backend Developer
158,TypeScript Git PostgreSQL MongoDB Spring Boot,Web Apps,BSc Computer Science,Beginner,Azure Fundamentals,Full Stack Developer
159,Power BI Use Cases Business Process Tableau,Process Improvement Business Analysis,BCA,Beginner,Scrum Master ITIL,Business Analyst
160,Web3.js Smart Contracts Truffle,Decentralization,BCA,Intermediate,Certified Blockchain Expert,Blockchain Developer
161,Android Studio Firebase Android,Cross-platform Apps,BTech IT,Intermediate,Firebase,Mobile App Developer
162,Java Node.js GraphQL MySQL,Databases APIs,BTech IT,Beginner,Oracle Java,Backend Developer
163,SQL Looker Statistics Google Analytics Model Deployment,Visualization Insights,BSc Computer Science,Advanced,Power BI Associate,Data Analyst
164,CDN Docker Lambda Google Cloud Vector Databases,Scalability Cloud Computing,Diploma CS,Advanced,AWS SA,Cloud Engineer
165,Object Detection CUDA MediaPipe Python Excel,Computer Vision,BE AI,Advanced,NVIDIA Deep Learning,Computer Vision Engineer
166,JIRA Data Analysis Confluence Business Process,Data,BTech IT,Advanced,CBAP,Business Analyst
167,Linux Kubernetes Networking Azure,Networking,MCA,Beginner,AWS CCP Google Cloud Associate,Cloud Engineer
168,Algorithms Linux Java,Problem Solving,BTech CSE,Beginner,RedHat RHCSA,Software Engineer
169,OWASP SIEM Incident Response Network Security,Network Security,Diploma CS,Intermediate,CompTIA CySA+,Cybersecurity Analyst
170,NumPy Spark Python PyTorch,MLOps,MCA,Intermediate,Google Cloud ML TensorFlow Developer,ML Engineer
171,Python NLTK BERT spaCy,Text Analytics,MCA,Beginner,HuggingFace Certified,NLP Engineer
172,Prototyping CSS User Research,Design Visual Design,MSc Data Science,Beginner,HCI Certificate,UI/UX Designer
173,Usability Testing HTML Figma Sketch,Design,BE AI,Advanced,Interaction Design Google UX Design,UI/UX Designer
174,REST API MongoDB Redis,Cloud,BTech IT,Beginner,MongoDB Associate Meta Full Stack,Full Stack Developer
175,Process Mapping Business Process Confluence JIRA,Data Process Improvement,MCA,Beginner,PMI-PBA,Business Analyst
176,HLSL Blender Unreal Engine Shader Programming NFT,3D Design,BCA,Beginner,Unreal Engine Cert,Game Developer
177,Requirements Gathering Confluence Business Process,Data,MCA,Intermediate,Tableau Desktop CBAP,Business Analyst
178,Generative AI HuggingFace Python TensorFlow,Generative AI,BE AI,Beginner,TensorFlow Developer,AI Engineer
179,Tableau Excel Spark Statistics,Insights,BTech CSE,Beginner,Tableau Desktop,Data Analyst
180,Object Detection Detectron2 PyTorch OpenCV,Computer Vision,BTech CSE,Beginner,Google Cloud ML PyTorch Certified,Computer Vision Engineer
181,Ansible Kubernetes Docker Terraform Web3.js,Automation DevOps,BSc Computer Science,Beginner,Terraform Associate Google Cloud DevOps,DevOps Engineer
182,Linux Jenkins GitHub Actions Terraform,CI/CD,BSc Computer Science,Beginner,Terraform Associate,DevOps Engineer
183,PyTorch FastAPI Vector Databases LLMs,Conversational AI AI Products,MSc Data Science,Advanced,TensorFlow Developer,AI Engineer
184,AWS SageMaker MLflow Python FastAPI,AI Systems,MSc Data Science,Intermediate,AWS SageMaker,ML Engineer
185,Helm AWS Ansible Docker,Platform Engineering,Diploma CS,Advanced,Kubernetes CKA,DevOps Engineer
186,Design Systems Sketch Canva Prototyping,User Experience Visual Design,BCA,Beginner,Google UX Design,UI/UX Designer
187,Python CNNs CUDA TensorFlow,Image Processing Deep Learning,BE AI,Advanced,TensorFlow Developer,Computer Vision Engineer
188,Observability Grafana Python Ansible,Observability,BTech IT,Beginner,Terraform Associate Google Cloud SRE,Site Reliability Engineer
189,Ansible SLIs/SLOs Chaos Engineering Grafana,Cloud Operations,MCA,Beginner,AWS SA,Site Reliability Engineer
190,Security Linux Lambda,Scalability,BE AI,Beginner,Terraform Associate,Cloud Engineer
191,Node.js Docker MySQL,Distributed Systems Backend Systems,BTech IT,Advanced,Azure Fundamentals,Backend Developer
192,Python Statistics Scikit-learn Matplotlib Figma,Statistics,BE AI,Intermediate,TensorFlow Developer Azure Fundamentals,Data Scientist
193,CI/CD Prometheus Helm ArgoCD,CI/CD,BTech CSE,Intermediate,Kubernetes CKA,DevOps Engineer
194,User Research Sketch Usability Testing,Human-Computer Interaction,BSc Computer Science,Intermediate,Interaction Design,UI/UX Designer
195,Sketch Design Systems Usability Testing,Human-Computer Interaction,BTech IT,Intermediate,Figma Expert HCI Certificate,UI/UX Designer
196,Data Visualization Google Analytics R,Data Analytics Visualization,BSc Computer Science,Intermediate,Google Data Analytics,Data Analyst
197,Requirements Gathering Excel Stakeholder Management Confluence Redis,Strategy Enterprise Systems,MSc Data Science,Beginner,PMI-PBA Scrum Master,Business Analyst
198,Kubeflow PyTorch FastAPI Python,MLOps Model Deployment,BE AI,Advanced,AWS SageMaker,ML Engineer
199,Webpack Next.js Jest GraphQL,Web Performance UI Design,Diploma CS,Advanced,JavaScript Algorithms Azure Fundamentals,Frontend Developer
200,Docker CloudFormation Kubernetes Azure,Scalability,BE AI,Advanced,AWS SA,Cloud Engineer
201,AWS Kubernetes Observability Docker,Reliability Engineering,Diploma CS,Beginner,RedHat RHCSA,Site Reliability Engineer
202,Express.js Redis Docker GraphQL LangChain,Microservices Distributed Systems,BTech CSE,Advanced,Oracle Java MongoDB Associate,Backend Developer
203,Prompt Engineering LangChain LLMs,AI Research AI Products,MSc Data Science,Intermediate,Azure AI HuggingFace Certified,AI Engineer
204,SIEM Firewall Incident Response IDS/IPS Usability Testing,Privacy,Diploma CS,Advanced,CEH,Cybersecurity Analyst
205,ONNX YOLO CNNs Python,Deep Learning AI Research,BTech IT,Beginner,AWS CCP,Computer Vision Engineer
206,FastAPI PyTorch Generative AI,Conversational AI,MCA,Advanced,Azure AI Google Cloud Associate,AI Engineer
207,Keras Detectron2 PyTorch OpenCV,Image Processing Computer Vision,BE AI,Beginner,TensorFlow Developer,Computer Vision Engineer
208,Model Deployment Kubeflow Kafka Scikit-learn,MLOps Deep Learning,BTech CSE,Advanced,AWS SageMaker,ML Engineer
209,Game Design Physics Engine C# AI Pathfinding,Graphics Interactive Media,BTech IT,Intermediate,AWS GameTech,Game Developer
210,Kubernetes ArgoCD Python Prometheus,Cloud Infrastructure,BSc Computer Science,Beginner,Terraform Associate,DevOps Engineer
211,NumPy PyTorch CUDA Python,AI Research Deep Learning,MSc Data Science,Intermediate,AWS CCP Google Cloud ML,Computer Vision Engineer
212,Market Research Stakeholder Management Figma,Tech Leadership,Diploma CS,Advanced,CSPO PMP,Product Manager
213,HLSL OpenGL Lua Multiplayer Networking,Interactive Media Graphics,BTech IT,Beginner,C++ Institute Unreal Engine Cert,Game Developer
214,Webpack Redux JavaScript REST API,User Experience Web Development,BSc Computer Science,Beginner,Google UX Design Azure Fundamentals,Frontend Developer
215,ETL Pandas Google Analytics Power BI,Reporting,MSc Data Science,Advanced,IBM Data Analyst Tableau Desktop,Data Analyst
216,CI/CD System Design Unit Testing Java,System Design Open Source,MCA,Intermediate,CompTIA A+ Google Cloud Associate,Software Engineer
217,React Native REST API Flutter,iOS Mobile Development,BE AI,Advanced,Flutter Certified Google Android Developer,Mobile App Developer
218,JIRA Data Analysis Roadmapping A/B Testing,Agile User Research,BCA,Beginner,CSPO Scrum Master,Product Manager
219,Python CI/CD Git Algorithms,Problem Solving,BSc Computer Science,Beginner,CompTIA A+,Software Engineer
220,Usability Testing Canva Information Architecture HTML,Design,BTech CSE,Beginner,HCI Certificate Adobe XD Certified,UI/UX Designer
221,LLMs OpenAI API Transformers PyTorch R,Generative AI,BTech IT,Intermediate,TensorFlow Developer,AI Engineer
222,Wireframing Canva HTML Zeplin,User Experience Human-Computer Interaction,BSc Computer Science,Intermediate,Adobe XD Certified,UI/UX Designer
223,Transformers TensorFlow Python OpenAI API,LLMs,BCA,Beginner,TensorFlow Developer HuggingFace Certified,AI Engineer
224,TensorFlow Tableau Seaborn,Research,BTech CSE,Beginner,Azure Fundamentals,Data Scientist
225,HuggingFace LangChain spaCy TensorFlow,Natural Language Processing,BTech CSE,Advanced,DeepLearning.AI NLP HuggingFace Certified,NLP Engineer
226,LangChain Vector Databases Prompt Engineering Transformers,Generative AI,BTech IT,Beginner,Azure AI AWS CCP,AI Engineer
227,Statistics Power BI Excel SQL,Visualization,BTech CSE,Beginner,Google Data Analytics,Data Analyst
228,Spark FastAPI PyTorch,Model Deployment,MCA,Intermediate,Azure ML TensorFlow Developer,ML Engineer
229,Linux Observability Prometheus Grafana CSS,Reliability Engineering Automation,BTech CSE,Beginner,Kubernetes CKA,Site Reliability Engineer
230,Google Play REST API Dart,Android iOS,Diploma CS,Intermediate,Flutter Certified Firebase,Mobile App Developer
231,R Tableau NumPy Pandas,Data Science,BSc Computer Science,Intermediate,AWS CCP Azure Fundamentals,Data Scientist
232,Text Classification Python NER Sentiment Analysis,Text Analytics Natural Language Processing,BSc Computer Science,Beginner,AWS CCP,NLP Engineer
233,SQL PostgreSQL ETL Google Analytics,Insights Data Analytics,MSc Data Science,Intermediate,AWS CCP Tableau Desktop,Data Analyst
234,Linux Firewall Network Security Vulnerability Assessment,Privacy Ethical Hacking,MCA,Intermediate,CISSP,Cybersecurity Analyst
